,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
44,2020-03-11,596813.32,40399.668,162425.753,122026.08499999999,438313.125,1035126.445
45,2020-03-12,435684.8,45385.0,52500.906,7115.906000000003,445429.03099999996,881113.831
46,2020-03-13,476771.51,79920.021,166424.635,86504.61400000002,531933.645,1008705.155
47,2020-03-16,455947.55,185754.944,2494.66,-183260.28399999999,348673.36100000003,804620.9110000001
48,2020-03-17,467293.84,22190.258,17195.092,-4995.166000000001,343678.19500000007,810972.0350000001
49,2020-03-18,423064.33,0.0,3209.312,3209.312,346887.5070000001,769951.837
50,2020-03-19,419888.54,11514.518,107275.067,95760.549,442648.0560000001,862536.5960000001
51,2020-03-20,321362.82,0.0,45345.146,45345.146,487993.2020000001,809356.0220000001
52,2020-03-23,246241.1,0.0,1907.406,1907.406,489900.6080000001,736141.7080000001
53,2020-03-24,242511.81,0.0,45910.528,45910.528,535811.1360000002,778322.9460000002
54,2020-03-25,199386.8,0.0,20259.08,20259.08,556070.2160000001,755457.0160000001
55,2020-03-26,185967.26,0.0,13220.803,13220.803,569291.0190000001,755258.2790000001
56,2020-03-27,172346.25,0.0,0.0,0.0,569291.0190000001,741637.2690000001
57,2020-03-30,172386.24,0.0,3028.84,3028.84,572319.8590000002,744706.0990000002
58,2020-03-31,175504.58,0.0,2499.286,2499.286,574819.1450000003,750323.7250000002
59,2020-04-01,171482.83,0.0,0.0,0.0,574819.1450000003,746301.9750000002
60,2020-04-03,173235.77,0.0,1478.914,1478.914,576298.0590000001,749533.8290000001
61,2020-04-07,185015.86,0.0,0.0,0.0,576298.0590000001,761313.9190000001
62,2020-04-08,190606.59,0.0,38409.435,38409.435,614707.4940000002,805314.0840000001
63,2020-04-09,155617.17,0.0,0.0,0.0,614707.4940000002,770324.6640000002
64,2020-04-13,153437.4,0.0,2301.963,2301.963,617009.4570000002,770446.8570000002
65,2020-04-15,152520.41,0.0,10949.627,10949.627,627959.0840000001,780479.4940000002
66,2020-04-16,142136.82,0.0,0.0,0.0,627959.0840000001,770095.9040000001
67,2020-04-17,144415.61,0.0,0.0,0.0,627959.0840000001,772374.6940000001
68,2020-04-20,146724.5,0.0,0.0,0.0,627959.0840000001,774683.5840000001
69,2020-04-21,143539.68,0.0,20159.662,20159.662,648118.7460000002,791658.4260000002
70,2020-04-22,123748.32,0.0,0.0,0.0,648118.7460000002,771867.0660000001
71,2020-04-23,124454.86,0.0,0.0,0.0,648118.7460000002,772573.6060000001
72,2020-04-24,121840.97,0.0,0.0,0.0,648118.7460000002,769959.7160000001
73,2020-04-27,122664.25,0.0,0.0,0.0,648118.7460000002,770782.9960000002
74,2020-04-28,123795.4,0.0,0.0,0.0,648118.7460000002,771914.1460000002
75,2020-04-29,123916.01,0.0,0.0,0.0,648118.7460000002,772034.7560000002
76,2020-04-30,124471.02,0.0,0.0,0.0,648118.7460000002,772589.7660000002
77,2020-05-04,119849.4,0.0,0.0,0.0,648118.7460000002,767968.1460000002
78,2020-05-05,119627.64,0.0,0.0,0.0,648118.7460000002,767746.3860000002
79,2020-05-06,119747.87,0.0,0.0,0.0,648118.7460000002,767866.6160000002
80,2020-05-07,119644.81,0.0,0.0,0.0,648118.7460000002,767763.5560000001
81,2020-05-08,119862.99,0.0,0.0,0.0,648118.7460000002,767981.7360000001
82,2020-05-11,119568.31,0.0,0.0,0.0,648118.7460000002,767687.0560000001
83,2020-05-12,119401.75,0.0,7863.422,7863.422,655982.1680000002,775383.9180000002
84,2020-05-13,195173.83,79118.891,0.0,-79118.891,576863.2770000002,772037.1070000002
85,2020-05-14,196404.93,0.0,0.0,0.0,576863.2770000002,773268.2070000002
86,2020-05-15,195250.17,0.0,2544.253,2544.253,579407.5300000003,774657.7000000003
87,2020-05-18,185743.21,0.0,0.0,0.0,579407.5300000003,765150.7400000002
88,2020-05-19,335205.73,156220.522,0.0,-156220.522,423187.00800000015,758392.7380000001
89,2020-05-20,498870.37,152817.769,0.0,-152817.769,270369.2390000002,769239.6090000002
90,2020-05-21,503557.6,0.0,0.0,0.0,270369.2390000002,773926.8390000002
91,2020-05-22,500175.45,0.0,0.0,0.0,270369.2390000002,770544.6890000002
92,2020-05-26,559246.24,60580.807,3894.296,-56686.511,213682.72800000012,772928.9680000001
93,2020-05-27,561929.03,0.0,0.0,0.0,213682.72800000012,775611.7580000001
94,2020-05-28,575794.78,0.0,0.0,0.0,213682.72800000012,789477.5080000001
95,2020-05-29,584926.94,0.0,0.0,0.0,213682.72800000012,798609.6680000001
96,2020-06-01,599175.35,0.0,30679.341,30679.341,244362.06900000013,843537.4190000001
