,symbol,date,open,high,low,close,volume
0,^NSEI,2025-04-29,24370.7,24457.65,24290.75,24335.95,0
1,^NSEI,2025-05-02,24311.9,24589.15,24238.5,24346.7,421100
2,^NSEI,2025-05-05,24419.5,24526.4,24400.65,24461.15,0
3,^NSEI,2025-05-12,24420.1,24944.8,24378.85,24924.7,0
4,^NSEI,2025-04-30,24342.05,24396.15,24198.75,24334.2,0
5,^NSEI,2025-05-09,23935.75,24164.25,23935.75,24008.0,335600
6,^NSEI,2025-05-13,24864.05,24973.8,24547.5,24578.35,0
7,^NSEI,2025-05-06,24500.75,24509.65,24331.8,24379.6,302400
8,^NSEI,2025-05-07,24233.3,24449.6,24220.0,24414.4,330100
9,^NSEI,2025-05-08,24431.5,24447.25,24150.2,24273.8,411400
10,^NSEI,2020-01-01,12202.15,12222.2,12165.3,12182.5,304100
11,^NSEI,2020-01-02,12198.55,12289.9,12195.25,12282.2,407700
12,^NSEI,2020-01-03,12261.1,12265.6,12191.35,12226.65,428800
13,^NSEI,2020-01-06,12170.6,12179.1,11974.2,11993.05,396500
14,^NSEI,2020-01-07,12079.1,12152.15,12005.35,12052.95,447800
15,^NSEI,2020-01-08,11939.1,12044.95,11929.6,12025.35,446000
16,^NSEI,2020-01-09,12153.15,12224.05,12132.55,12215.9,477500
17,^NSEI,2020-01-10,12271.0,12311.2,12213.2,12256.8,660600
18,^NSEI,2020-01-13,12296.7,12337.75,12285.8,12329.55,501000
19,^NSEI,2020-01-14,12333.1,12374.25,12308.7,12362.3,616300
20,^NSEI,2020-01-15,12349.4,12355.15,12278.75,12343.3,684400
21,^NSEI,2020-01-16,12347.1,12389.05,12315.8,12355.5,395700
22,^NSEI,2020-01-17,12328.4,12385.45,12321.4,12352.35,502100
23,^NSEI,2020-01-20,12430.5,12430.5,12216.9,12224.55,491600
24,^NSEI,2020-01-21,12195.3,12230.05,12162.3,12169.85,400
25,^NSEI,2020-01-22,12218.35,12225.05,12087.9,12106.9,500
26,^NSEI,2020-01-23,12123.75,12189.0,12094.1,12180.35,867700
