,date,portfolio_value,total_buy_cost,total_sell_value,net_flow,balance,asset_valuation
47,2023-03-16,673535.95,0.0,7183.222,7183.222,256304.06799999985,929840.0179999998
48,2023-03-17,687763.47,22073.982,43015.617,20941.635,277245.70299999986,965009.1729999998
49,2023-03-20,692655.03,57020.536,0.0,-57020.536,220225.1669999999,912880.1969999999
50,2023-03-21,701329.4,0.0,7158.242,7158.242,227383.40899999987,928712.8089999999
51,2023-03-22,698414.76,0.0,2881.004,2881.004,230264.41299999983,928679.1729999998
52,2023-03-23,692270.99,0.0,9262.163,9262.163,239526.57599999988,931797.5659999999
53,2023-03-24,703397.53,30700.403,21359.622,-9340.780999999999,230185.79499999993,933583.325
54,2023-03-27,696213.01,20028.588,41946.794,21918.206000000002,252104.00099999993,948317.0109999999
55,2023-03-28,666061.88,21514.416,18003.545,-3510.871000000003,248593.1299999999,914655.0099999999
56,2023-03-29,657350.96,4236.205,1879.458,-2356.747,246236.3829999999,903587.3429999999
57,2023-03-31,673876.61,5256.847,8279.381,3022.5339999999997,249258.9169999999,923135.5269999999
58,2023-04-03,707692.08,30168.096,5947.583,-24220.513000000003,225038.40399999986,932730.4839999998
59,2023-04-05,711314.13,0.0,2543.572,2543.572,227581.9759999999,938896.1059999999
60,2023-04-06,710776.09,0.0,160265.674,160265.674,387847.6499999999,1098623.7399999998
61,2023-04-10,559306.57,0.0,9667.401,9667.401,397515.05099999986,956821.6209999998
62,2023-04-11,554795.0,0.0,4141.789,4141.789,401656.83999999985,956451.8399999999
63,2023-04-12,558253.05,0.0,40869.373,40869.373,442526.2129999999,1000779.2629999999
64,2023-04-13,513485.55,0.0,24748.911,24748.911,467275.12399999984,980760.6739999999
65,2023-04-17,488884.74,0.0,0.0,0.0,467275.12399999984,956159.8639999998
66,2023-04-18,588948.28,93953.437,0.0,-93953.437,373321.6869999998,962269.9669999998
67,2023-04-19,593683.51,0.0,17617.663,17617.663,390939.34999999986,984622.8599999999
68,2023-04-20,681258.68,102791.447,0.0,-102791.447,288147.9029999998,969406.5829999999
69,2023-04-21,679793.03,0.0,5544.629,5544.629,293692.5319999998,973485.5619999998
70,2023-04-24,673766.8,0.0,0.0,0.0,293692.5319999998,967459.3319999998
71,2023-04-25,676753.28,0.0,1283.982,1283.982,294976.51399999973,971729.7939999998
72,2023-04-26,750760.41,78413.118,0.0,-78413.118,216563.39599999972,967323.8059999997
73,2023-04-27,757945.49,0.0,0.0,0.0,216563.39599999972,974508.8859999997
74,2023-04-28,763729.11,0.0,15112.635,15112.635,231676.03099999973,995405.1409999997
75,2023-05-02,755530.98,0.0,0.0,0.0,231676.03099999973,987207.0109999997
76,2023-05-03,760883.73,0.0,14660.896,14660.896,246336.92699999968,1007220.6569999997
77,2023-05-04,751999.56,5086.002,81057.238,75971.236,322308.1629999997,1074307.7229999998
78,2023-05-05,703553.65,34942.722,0.0,-34942.722,287365.44099999976,990919.0909999998
79,2023-05-08,772676.2,59886.888,0.0,-59886.888,227478.55299999972,1000154.7529999997
80,2023-05-09,808317.5,31948.502,65250.604,33302.102,260780.65499999968,1069098.1549999998
81,2023-05-10,791828.46,46265.208,34901.287,-11363.921000000002,249416.7339999997,1041245.1939999997
82,2023-05-11,774831.63,13634.218,35352.195,21717.977,271134.71099999966,1045966.3409999997
83,2023-05-12,786233.66,52800.529,4350.473,-48450.056000000004,222684.65499999968,1008918.3149999997
84,2023-05-15,786300.41,0.0,14761.118,14761.118,237445.7729999997,1023746.1829999997
85,2023-05-16,770861.8,0.0,0.0,0.0,237445.7729999997,1008307.5729999997
86,2023-05-17,767943.91,0.0,0.0,0.0,237445.7729999997,1005389.6829999997
87,2023-05-18,763622.31,0.0,10551.45,10551.45,247997.22299999965,1011619.5329999997
88,2023-05-19,794981.54,43730.168,37174.219,-6555.9490000000005,241441.27399999963,1036422.8139999997
89,2023-05-22,769380.95,11894.707,15286.044,3391.3369999999995,244832.61099999957,1014213.5609999995
90,2023-05-23,756371.21,0.0,0.0,0.0,244832.61099999957,1001203.8209999995
91,2023-05-24,798356.33,44838.543,72899.826,28061.283000000003,272893.8939999996,1071250.2239999995
92,2023-05-25,749332.2,23240.807,0.0,-23240.807,249653.0869999996,998985.2869999995
93,2023-05-26,754586.64,0.0,0.0,0.0,249653.0869999996,1004239.7269999996
94,2023-05-29,751696.76,14700.737,10642.145,-4058.5919999999987,245594.49499999965,997291.2549999997
95,2023-05-30,760476.48,0.0,0.0,0.0,245594.49499999965,1006070.9749999996
96,2023-05-31,760471.36,0.0,0.0,0.0,245594.49499999965,1006065.8549999996
97,2023-06-01,784650.8,22371.48,78967.639,56596.159,302190.65399999963,1086841.4539999997
98,2023-06-02,707319.27,0.0,0.0,0.0,302190.65399999963,1009509.9239999996
99,2023-06-05,728530.07,17742.512,35715.384,17972.872,320163.5259999996,1048693.5959999994
100,2023-06-06,691475.74,0.0,41447.816,41447.816,361611.3419999996,1053087.0819999995
101,2023-06-07,673670.66,17240.025,4275.057,-12964.968,348646.3739999996,1022317.0339999996
102,2023-06-08,674744.22,12285.345,30240.881,17955.536,366601.90999999957,1041346.1299999995
103,2023-06-09,714607.2,69000.117,0.0,-69000.117,297601.7929999996,1012208.9929999996
104,2023-06-12,715678.93,0.0,34724.876,34724.876,332326.66899999965,1048005.5989999997
105,2023-06-13,685359.87,0.0,0.0,0.0,332326.66899999965,1017686.5389999996
106,2023-06-14,723892.05,42799.889,0.0,-42799.889,289526.7799999997,1013418.8299999997
107,2023-06-15,728659.5,0.0,24313.841,24313.841,313840.6209999997,1042500.1209999997
108,2023-06-16,707070.22,0.0,56115.986,56115.986,369956.6069999997,1077026.8269999996
109,2023-06-19,738863.24,89462.735,7922.007,-81540.728,288415.8789999997,1027279.1189999997
110,2023-06-20,750146.07,18096.908,0.0,-18096.908,270318.97099999967,1020465.0409999996
111,2023-06-21,782613.24,28016.401,28539.728,523.3269999999975,270842.2979999997,1053455.5379999997
112,2023-06-22,778622.37,28201.294,0.0,-28201.294,242641.00399999972,1021263.3739999997
113,2023-06-23,768871.03,0.0,0.0,0.0,242641.00399999972,1011512.0339999998
114,2023-06-26,772877.09,0.0,0.0,0.0,242641.00399999972,1015518.0939999997
115,2023-06-27,810735.33,35289.66,41549.8,6260.139999999999,248901.14399999974,1059636.4739999997
116,2023-06-28,763922.35,0.0,0.0,0.0,248901.14399999974,1012823.4939999997
117,2023-06-30,775030.44,0.0,0.0,0.0,248901.14399999974,1023931.5839999997
118,2023-07-03,757976.13,0.0,73971.196,73971.196,322872.33999999973,1080848.4699999997
119,2023-07-04,685013.71,0.0,1221.865,1221.865,324094.2049999997,1009107.9149999997
120,2023-07-05,722449.75,37299.707,0.0,-37299.707,286794.4979999997,1009244.2479999997
121,2023-07-06,753842.4,27106.663,37079.225,9972.561999999998,296767.0599999997,1050609.4599999997
122,2023-07-07,739986.79,0.0,27821.298,27821.298,324588.35799999966,1064575.1479999996
123,2023-07-10,737557.96,35230.996,32908.977,-2322.0190000000002,322266.3389999997,1059824.2989999996
124,2023-07-11,728168.92,77787.153,25917.407,-51869.74600000001,270396.59299999964,998565.5129999997
125,2023-07-12,731595.47,27422.969,14704.714,-12718.255000000001,257678.33799999964,989273.8079999996
126,2023-07-13,731731.22,16736.687,0.0,-16736.687,240941.6509999996,972672.8709999996
127,2023-07-14,803072.97,0.0,0.0,0.0,240941.6509999996,1044014.6209999996
128,2023-07-17,814111.58,0.0,0.0,0.0,240941.6509999996,1055053.2309999997
129,2023-07-18,781265.64,35224.91,97599.884,62374.974,303316.62499999965,1084582.2649999997
130,2023-07-19,780632.2,71533.832,0.0,-71533.832,231782.7929999996,1012414.9929999996
131,2023-07-20,805025.25,17375.053,47351.411,29976.358,261759.1509999996,1066784.4009999996
132,2023-07-21,760831.95,0.0,75495.681,75495.681,337254.8319999996,1098086.7819999997
133,2023-07-24,801183.32,79107.362,45752.189,-33355.172999999995,303899.65899999964,1105082.9789999996
134,2023-07-25,735203.21,22774.121,0.0,-22774.121,281125.5379999996,1016328.7479999996
135,2023-07-26,799585.01,20694.512,3295.821,-17398.691,263726.8469999996,1063311.8569999996
136,2023-07-27,773416.64,22885.288,0.0,-22885.288,240841.55899999966,1014258.1989999997
137,2023-07-28,818882.07,0.0,0.0,0.0,240841.55899999966,1059723.6289999997
138,2023-07-31,781340.6,0.0,0.0,0.0,240841.55899999966,1022182.1589999996
139,2023-08-01,786918.75,0.0,12883.171,12883.171,253724.72999999963,1040643.4799999996
140,2023-08-02,786448.31,20017.089,44905.426,24888.337,278613.0669999996,1065061.3769999996
141,2023-08-03,812442.58,31069.357,20698.194,-10371.163,268241.90399999963,1080684.4839999997
142,2023-08-04,825948.13,29307.03,0.0,-29307.03,238934.8739999996,1064883.0039999997
143,2023-08-07,858472.78,21139.617,23729.939,2590.322,241525.19599999965,1099997.9759999998
144,2023-08-08,897181.44,60707.025,106308.35,45601.325000000004,287126.5209999996,1184307.9609999997
145,2023-08-09,850185.18,51155.607,6976.556,-44179.05100000001,242947.46999999962,1093132.6499999997
146,2023-08-10,863008.22,19282.791,20575.371,1292.579999999998,244240.04999999958,1107248.2699999996
147,2023-08-11,864560.92,18052.465,18708.466,656.0010000000002,244896.05099999963,1109456.9709999997
148,2023-08-14,842495.06,0.0,6431.036,6431.036,251327.0869999996,1093822.1469999996
149,2023-08-16,882452.32,43396.808,39927.148,-3469.659999999996,247857.42699999956,1130309.7469999995
150,2023-08-17,845378.62,0.0,0.0,0.0,247857.42699999956,1093236.0469999996
151,2023-08-18,862565.59,15904.024,42493.077,26589.053,274446.4799999995,1137012.0699999994
152,2023-08-21,879308.13,57495.973,0.0,-57495.973,216950.50699999952,1096258.6369999996
153,2023-08-22,887509.51,0.0,0.0,0.0,216950.50699999952,1104460.0169999995
154,2023-08-23,902722.24,0.0,55705.407,55705.407,272655.9139999995,1175378.1539999996
155,2023-08-24,844503.99,0.0,58900.84,58900.84,331556.7539999995,1176060.7439999995
156,2023-08-25,802332.08,17962.913,16638.847,-1324.065999999999,330232.6879999995,1132564.7679999995
157,2023-08-28,886163.09,92018.186,0.0,-92018.186,238214.5019999995,1124377.5919999995
158,2023-08-29,900330.03,0.0,0.0,0.0,238214.5019999995,1138544.5319999997
159,2023-08-30,918967.9,13303.933,69697.98,56394.04699999999,294608.54899999953,1213576.4489999996
160,2023-08-31,882727.78,34940.301,42693.847,7753.546000000002,302362.0949999995,1185089.8749999995
161,2023-09-01,912709.25,59789.734,0.0,-59789.734,242572.36099999957,1155281.6109999996
162,2023-09-04,919146.09,0.0,4107.96,4107.96,246680.32099999953,1165826.4109999994
163,2023-09-05,918456.9,0.0,57992.249,57992.249,304672.5699999995,1223129.4699999995
164,2023-09-06,864102.03,0.0,17642.751,17642.751,322315.32099999953,1186417.3509999996
165,2023-09-07,886655.45,27849.775,84754.592,56904.817,379220.13799999957,1265875.5879999995
166,2023-09-08,836153.29,21181.501,88402.885,67221.38399999999,446441.52199999953,1282594.8119999995
