date,Buy,Sell,daily_pnl,cumulative_pnl,balance,daily_return
2023-01-03,129242.21739428998,0.0,-129242.21739428998,-129242.21739428998,870757.78260571,0.0
2023-01-06,342760.14102329995,0.0,-342760.14102329995,-472002.3584175899,527997.6415824101,-0.3936343124004049
2023-01-09,209419.95383809498,0.0,-209419.95383809498,-681422.3122556849,318577.68774431513,-0.3966304720802595
2023-01-11,49728.315541904994,0.0,-49728.315541904994,-731150.6277975899,268849.37220241013,-0.15609478458458792
2023-01-20,35586.05687637,66485.65035744,30899.59348107,-700251.0343165199,299748.96568348014,0.11493273437070362
2023-01-23,79618.66881968999,76024.26567395999,-3594.4031457300007,-703845.4374622499,296154.5625377501,-0.011991377977015438
2023-01-27,7846.776447509999,9952.210337489998,2105.4338899799986,-701740.0035722699,298259.9964277301,0.007109240093883695
2023-01-30,93984.52248685498,125481.60391387499,31497.081427020006,-670242.9221452499,329757.0778547501,0.10560276873956154
2023-01-31,35202.131659695,5370.371977275,-29831.759682419997,-700074.6818276698,299925.31817233015,-0.09046586619608543
2023-02-02,53426.2459731,84363.394392765,30937.148419664998,-669137.5334080048,330862.4665919952,0.10314950604433237
2023-02-03,37305.65326488,2060.34204555,-35245.31121933,-704382.8446273347,295617.15537266526,-0.10652556508560662
2023-02-06,0.0,6618.318381675001,6618.318381675001,-697764.5262456597,302235.4737543403,0.02238814040860304
2023-02-07,10931.73849768,8035.298263395,-2896.4402342850008,-700660.9664799446,299339.03352005535,-0.009583389396041642
2023-02-08,36163.70233476,165701.97466749,129538.27233273,-571122.6941472146,428877.30585278536,0.4327476801452661
2023-02-09,56246.821906275,857.9755656000001,-55388.846340675,-626511.5404878897,373488.45951211033,-0.12914846643736277
2023-02-10,43862.817548549996,13393.568669355,-30469.248879194995,-656980.7893670846,343019.2106329154,-0.08158016159052695
2023-02-13,50880.22138699499,3865.389146595,-47014.83224039999,-703995.6216074846,296004.37839251535,-0.13706180523723877
2023-02-14,0.0,1879.566626925,1879.566626925,-702116.0549805596,297883.9450194404,0.006349793327829145
2023-02-15,14182.498955624997,15401.170767645,1218.671812020004,-700897.3831685396,299102.6168314604,0.004091095986863191
2023-02-16,59933.89607204999,82253.16646303501,22319.270390985024,-678578.1127775545,321421.88722244545,0.07462077940816414
2023-02-17,28025.02855152,5161.1941295100005,-22863.83442201,-701441.9471995645,298558.05280043546,-0.07113340855405625
2023-02-21,0.0,1023.4522732500001,1023.4522732500001,-700418.4949263146,299581.50507368543,0.0034279841513238374
2023-02-22,16248.58447212,12566.10508623,-3682.4793858899993,-704100.9743122045,295899.0256877955,-0.012292078527959216
2023-02-23,3713.0330587349995,7449.04557792,3736.0125191850007,-700364.9617930196,299635.03820698045,0.012625971006497538
2023-02-24,7680.287004389998,3233.7464215950004,-4446.540582794998,-704811.5023758146,295188.4976241854,-0.014839855209868635
2023-02-27,0.0,3031.9557142950002,3031.9557142950002,-701779.5466615196,298220.45333848044,0.01027125290686337
2023-02-28,7625.745287159999,9274.1035131,1648.3582259400018,-700131.1884355795,299868.81156442047,0.005527314466486688
