date,Buy,Sell,daily_pnl,cumulative_pnl,balance,daily_return
2023-01-03,129242.21739428998,0.0,-129242.21739428998,-129242.21739428998,870757.78260571,0.0
2023-01-06,342760.14102329995,0.0,-342760.14102329995,-472002.3584175899,527997.6415824101,-0.3936343124004049
2023-01-09,209419.95383809498,0.0,-209419.95383809498,-681422.3122556849,318577.68774431513,-0.3966304720802595
2023-01-11,126663.27348674997,0.0,-126663.27348674997,-808085.5857424348,191914.41425756516,-0.39758990776657177
2023-01-12,75143.84440562999,0.0,-75143.84440562999,-883229.4301480649,116770.56985193514,-0.3915487260106514
2023-01-13,45703.865902695,0.0,-45703.865902695,-928933.2960507598,71066.70394924015,-0.39139884271051695
2023-01-16,28422.153544784996,0.0,-28422.153544784996,-957355.4495955448,42644.55040445516,-0.3999362847204183
2023-01-17,16837.10622594,0.0,-16837.10622594,-974192.5558214849,25807.444178515114,-0.3948243343229395
2023-01-18,9925.180420154999,0.0,-9925.180420154999,-984117.7362416399,15882.263758360059,-0.3845859493679673
2023-01-19,5206.18016919,0.0,-5206.18016919,-989323.91641083,10676.083589170012,-0.32779836982934085
2023-01-20,1927.3576672349998,72647.13811702501,70719.78044979,-918604.1359610399,81395.86403896008,6.624131392295329
2023-01-23,22344.928330724997,81286.02835924499,58941.100028519984,-859663.0359325199,140336.96406748006,0.7241289311740442
2023-01-24,51020.86210221,50593.97163375,-426.8904684599984,-860089.92640098,139910.07359902002,-0.0030418961340419326
2023-01-25,55121.22547932,0.0,-55121.22547932,-915211.1518803,84788.84811969998,-0.3939761023734186
2023-01-27,24552.626017919996,36608.77052406,12056.14450614,-903155.00737416,96844.99262584001,0.1421902145565166
2023-01-30,26874.004026869996,151602.28016080498,124728.27613393498,-778426.731240225,221573.26875977498,1.2879166258582089
2023-01-31,71234.68750397999,15345.46356561,-55889.22393836999,-834315.955178595,165684.04482140497,-0.2522381163179206
2023-02-01,32134.786003319998,16243.553641544999,-15891.232361774999,-850207.18754037,149792.81245962996,-0.09591287066237775
2023-02-02,31653.314637944997,106673.57032432499,75020.25568638,-775186.9318539901,224813.06814600993,0.5008268050684899
2023-02-03,59369.22004513499,8836.481852820001,-50532.738192314995,-825719.670046305,174280.32995369495,-0.22477669385080123
2023-02-06,40838.50636866,6050.801326815001,-34787.705041844994,-860507.37508815,139492.62491184997,-0.19960775292936284
2023-02-07,37836.72895002,9464.792508225,-28371.936441795,-888879.311529945,111120.688470055,-0.20339380995750955
2023-02-08,17237.836621005,179359.627108725,162121.79048772,-726757.521042225,273242.47895777505,1.458970356644334
2023-02-09,44622.2553777,2994.4641084300006,-41627.79126927,-768385.312311495,231614.68768850504,-0.15234743670914674
2023-02-10,27197.749078499997,12225.281615864998,-14972.467462634999,-783357.77977413,216642.22022587003,-0.06464386007666001
2023-02-13,32094.305353109994,4019.6939273549997,-28074.611425754993,-811432.3911998849,188567.60880011506,-0.12958975123355232
2023-02-14,42043.63195031999,3961.309969755,-38082.32198056499,-849514.7131804499,150485.2868195501,-0.20195579836265987
