,symbol,date,price_adj,order_type,quantity,commision_cost,total_cost,balance
25,DEVYANI,2023-01-17,160.15999999999997,Buy,35,2.8027999999999995,5608.402799999999,31246.473213955247
26,JYOTHYLAB,2023-01-17,194.15395999999998,Buy,28,2.7181554399999994,5439.0290354399995,25807.44417851525
27,INDUSTOWER,2023-01-18,176.32614999999998,Buy,13,1.146119975,2293.386069975,23514.05810854025
28,CROMPTON,2023-01-18,316.97666,Buy,7,1.1094183100000001,2219.94603831,21294.112070230247
29,CONCOR,2023-01-18,667.1965299999999,Buy,3,1.000794795,2002.5903847949999,19291.521685435247
30,ZEELEARN,2023-01-18,6.6065999999999985,Buy,274,0.9051041999999998,1811.1135041999996,17480.40818123525
31,RHFL,2023-01-18,3.2532499999999995,Buy,491,0.7986728749999998,1598.1444228749997,15882.263758360248
32,ICICIGI,2023-01-19,1177.7565799999998,Buy,1,0.5888782899999999,1178.3454582899997,14703.918300070249
33,DELHIVERY,2023-01-19,307.85755,Buy,6,0.9235726500000001,1848.0688726500002,12855.84942742025
34,CEREBRAINT,2023-01-19,12.011999999999999,Buy,114,0.684684,1370.052684,11485.79674342025
35,COMPINFO,2023-01-19,19.26925,Buy,42,0.40465425,809.71315425,10676.08358917025
36,BAJAJFINSV,2023-01-20,1357.07157,Sell,49,0.0,66496.50693,77172.59051917025
37,TATACONSUM,2023-01-20,725.79507,Buy,1,0.362897535,726.157967535,76446.43255163525
38,NURECA,2023-01-20,323.72595,Sell,19,0.16186297500000002,6150.631187025,82597.06373866026
39,ALOKINDS,2023-01-20,14.414399999999999,Buy,43,0.30990959999999995,620.1291095999999,81976.93462906026
40,GREENPOWER,2023-01-20,9.679669999999998,Buy,60,0.2903901,581.0705900999999,81395.86403896025
41,INDHOTEL,2023-01-23,294.18388999999996,Buy,10,1.4709194499999998,2943.30981945,78452.55421951025
42,POWERGRID,2023-01-23,149.95989,Sell,507,1.424618955,76028.23961104499,154480.79383055522
43,SBICARD,2023-01-23,750.12938,Buy,3,1.12519407,2251.51333407,152229.2804964852
44,IEX,2023-01-23,129.42929999999998,Buy,21,1.35900765,2719.3743076499995,149509.90618883522
45,WOCKPHARMA,2023-01-23,218.71849999999998,Buy,12,1.312311,2625.934311,146883.97187783523
46,NYKAA,2023-01-23,128.2716,Sell,41,1.3468518000000003,5257.788748200001,152141.76062603522
47,POLICYBZR,2023-01-23,436.3358999999999,Buy,6,1.3090076999999998,2619.3244076999995,149522.4362183352
48,PVRINOX,2023-01-23,1616.7150999999997,Buy,1,0.8083575499999999,1617.5234575499996,147904.9127607852
49,TRIDENT,2023-01-23,32.40236999999999,Buy,68,1.1016805799999998,2204.4628405799995,145700.4499202052
50,CONFIPET,2023-01-23,75.85578,Buy,27,1.0240530300000001,2049.13011303,143651.3198071752
51,PCJEWELLER,2023-01-23,6.516509999999999,Buy,289,0.941635695,1884.213025695,141767.1067814802
52,SANWARIA,2023-01-23,0.7006999999999999,Buy,2040,0.7147139999999998,1430.1427139999996,140336.9640674802
53,HDFCBANK,2023-01-24,1632.11625,Sell,31,1.6321162500000002,50593.97163375,190930.9357012302
54,VOLTAS,2023-01-24,772.7419699999999,Buy,4,1.5454839399999998,3092.5133639399996,187838.4223372902
55,AMBUJACEM,2023-01-24,498.28779,Buy,6,1.49486337,2991.22160337,184847.20073392018
56,INDIACEM,2023-01-24,208.30809999999997,Buy,15,1.5623107499999997,3126.1838107499993,181721.0169231702
57,RELIGARE,2023-01-24,165.165,Buy,19,1.5690674999999998,3139.7040675,178581.3128556702
58,RPOWER,2023-01-24,13.3133,Buy,230,1.5310295,3063.5900295,175517.7228261702
59,JSWENERGY,2023-01-24,246.02577999999997,Buy,12,1.4761546799999998,2953.78551468,172563.9373114902
60,PRAJIND,2023-01-24,330.50016999999997,Buy,8,1.32200068,2645.32336068,169918.61395081022
61,JKTYRE,2023-01-24,166.00583999999998,Buy,17,1.4110496399999997,2823.5103296399993,167095.10362117022
62,KMSUGAR,2023-01-24,28.678649999999994,Buy,100,1.4339324999999996,2869.2989324999994,164225.8046886702
63,YESBANK,2023-01-24,18.218199999999996,Buy,152,1.3845831999999996,2770.5509831999993,161455.2537054702
64,DHANBANK,2023-01-24,18.8188,Buy,138,1.2984972000000001,2598.2928972,158856.9608082702
65,HCL-INSYS,2023-01-24,16.1161,Buy,159,1.28122995,2563.74112995,156293.2196783202
66,RANASUG,2023-01-24,24.023999999999997,Buy,105,1.2612599999999998,2523.7812599999997,153769.4384183202
67,NDL,2023-01-24,2.48248,Buy,1000,1.2412400000000001,2483.72124,151285.7171783202
68,URJA,2023-01-24,9.4094,Buy,218,1.0256246,2052.2748245999996,149233.4423537202
69,FCSSOFT,2023-01-24,2.6026,Buy,785,1.0215205,2044.0625205,147189.37983322018
70,GTLINFRA,2023-01-24,1.1511499999999997,Buy,1712,0.9853843999999997,1971.7541843999993,145217.6256488202
71,DISHTV,2023-01-24,17.1171,Buy,113,0.9671161500000001,1935.1994161500002,143282.4262326702
72,SITINET,2023-01-24,1.6016,Buy,1153,0.9233223999999999,1847.5681223999998,141434.8581102702
73,AGSTRA,2023-01-24,60.960899999999995,Buy,25,0.7620112499999999,1524.7845112499997,139910.0735990202
74,DLF,2023-01-25,359.64929,Buy,28,5.035090060000001,10075.215210060001,129834.85838896019
